molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,53000.0,
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,46000.0,
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,110000.0,
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,84000.0,
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,84000.0,
CHEMBL108084,OC[C@H]1NCC[C@@H](O)[C@@H]1O,1000000.0,
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,25000.0,
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,500000.0,
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,570000.0,
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,210000.0,
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,1000000.0,
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,320000.0,
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,1300.0,
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,320000.0,
CHEMBL2115197,CC[C@H]1NC[C@H](O)[C@@H]1O,800000.0,
CHEMBL2115197,CC[C@H]1NC[C@H](O)[C@@H]1O,1000000.0,
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
,,,inactive
